date,gas_price,uber_ride,groceries_basket,rent_index,streaming_cost,gas_price_idx,uber_ride_idx,groceries_basket_idx,rent_index_idx,streaming_cost_idx,RIPI,cpi,cpi_idx,ripi_minus_cpi_idx
2025-02-04,3.261,265.313,15.927,430.318,598.462,101.24185035703196,102.19439479847159,126.4147948249861,104.54761904761905,103.23062513260415,108.96801496374839,319.679,103.22281706694909,5.745197896799297
2025-02-05,3.261,265.313,15.927,430.318,598.462,101.24185035703196,102.19439479847159,126.4147948249861,104.54761904761905,103.23062513260415,108.96801496374839,319.679,103.22281706694909,5.745197896799297
2025-02-06,3.261,265.313,15.927,430.318,598.462,101.24185035703196,102.19439479847159,126.4147948249861,104.54761904761905,103.23062513260415,108.96801496374839,319.679,103.22281706694909,5.745197896799297
2025-02-07,3.261,265.313,15.927,430.318,598.462,101.24185035703196,102.19439479847159,126.4147948249861,104.54761904761905,103.23062513260415,108.96801496374839,319.679,103.22281706694909,5.745197896799297
2025-02-08,3.261,265.313,15.927,430.318,598.462,101.24185035703196,102.19439479847159,126.4147948249861,104.54761904761905,103.23062513260415,108.96801496374839,319.679,103.22281706694909,5.745197896799297
2025-02-09,3.261,265.313,15.927,430.318,598.462,101.24185035703196,102.19439479847159,126.4147948249861,104.54761904761905,103.23062513260415,108.96801496374839,319.679,103.22281706694909,5.745197896799297
2025-02-10,3.261,265.313,15.927,430.318,598.462,101.24185035703196,102.19439479847159,126.4147948249861,104.54761904761905,103.23062513260415,108.96801496374839,319.679,103.22281706694909,5.745197896799297
2025-02-11,3.261,265.313,15.927,430.318,598.462,101.24185035703196,102.19439479847159,126.4147948249861,104.54761904761905,103.23062513260415,108.96801496374839,319.679,103.22281706694909,5.745197896799297
2025-02-12,3.261,265.313,15.927,430.318,598.462,101.24185035703196,102.19439479847159,126.4147948249861,104.54761904761905,103.23062513260415,108.96801496374839,319.679,103.22281706694909,5.745197896799297
2025-02-13,3.261,265.313,15.927,430.318,598.462,101.24185035703196,102.19439479847159,126.4147948249861,104.54761904761905,103.23062513260415,108.96801496374839,319.679,103.22281706694909,5.745197896799297
2025-02-14,3.261,265.313,15.927,430.318,598.462,101.24185035703196,102.19439479847159,126.4147948249861,104.54761904761905,103.23062513260415,108.96801496374839,319.679,103.22281706694909,5.745197896799297
2025-02-15,3.261,265.313,15.927,430.318,598.462,101.24185035703196,102.19439479847159,126.4147948249861,104.54761904761905,103.23062513260415,108.96801496374839,319.679,103.22281706694909,5.745197896799297
2025-02-16,3.261,265.313,15.927,430.318,598.462,101.24185035703196,102.19439479847159,126.4147948249861,104.54761904761905,103.23062513260415,108.96801496374839,319.679,103.22281706694909,5.745197896799297
2025-02-17,3.261,265.313,15.927,430.318,598.462,101.24185035703196,102.19439479847159,126.4147948249861,104.54761904761905,103.23062513260415,108.96801496374839,319.679,103.22281706694909,5.745197896799297
2025-02-18,3.261,265.313,15.927,430.318,598.462,101.24185035703196,102.19439479847159,126.4147948249861,104.54761904761905,103.23062513260415,108.96801496374839,319.679,103.22281706694909,5.745197896799297
2025-02-19,3.261,265.313,15.927,430.318,598.462,101.24185035703196,102.19439479847159,126.4147948249861,104.54761904761905,103.23062513260415,108.96801496374839,319.679,103.22281706694909,5.745197896799297
